book;authors
Война и мир;Александр Толстой
Человек-амфибия;А. Р. Беляев
Продавец воздуха;А. Р. Беляев
Ариэль;А. Р. Беляев
Голова профессора Доуэля;А. Р. Беляев
Двенадцать стульев;И. Ильф,Е. Петров
Золотой теленок;И. Ильф,Е. Петров
Reach for the Skies: Ballooning, Birdmen and Blasting into Space;Richard Branson
Screw It, Let's Do It;Richard Branson
Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way;Richard Branson
Arctic Diary: Surviving on Thin Ice;Richard Branson
The Classical Theory of Fields;Lev Landau,Evgeny Lifshitz
Electrodynamics of Continuous Media;Lev Landau,Evgeny Lifshitz
Mechanics. Vol. 1;Lev Landau,Evgeny Lifshitz
Fluid Mechanics. Vol. 6;Lev Landau,Evgeny Lifshitz
Quantum Electrodynamics. Vol. 4;V. B. Berestetskii,Evgeny Lifshitz,L. P. Pitaevskii
Physical Kinetics. Vol. 10;Evgeny Lifshitz,L. P. Pitaevskii
Statistical Physics, Part 2. Vol. 9;Evgeny Lifshitz,L. P. Pitaevskii
Electrodynamics of Continuous Media. Vol. 8;Lev Landau,Evgeny Lifshitz,L. P. Pitaevskii
Physics of elementary particles;A. I. Akhiezer,Mikhail P. Rekalo
Elementary Particles;A. I. Akhiezer,Mikhail P. Rekalo
Biography of elementary particles;A. I. Akhiezer,Mikhail P. Rekalo
General Physics, Mechanics and Molecular Physics;A. I. Akhiezer,Lev Landau,Evgeny Lifshitz
The Metal Conductivity;Lev Landau,A. S. Kompaneets
Theoretical Physics;A. S. Kompaneets
What is Quantum Mechanics?;A. S. Kompaneets
Theory of Detonation;A. S. Kompaneets,Ya. B. Zel'dovich
Magnetic Fields in Astrophysics;Ya. B. Zel'dovich,A. A. Ruzmaikin,D. D. Sokoloff
Relativistic Astrophysics: The Structure and Evolution of the Universe Vol. 2;Ya. B. Zel'dovich,I. D. Novikov
Physics of Shock Waves and High-Temperature Hydrodynamic Phenomena;Ya. B. Zel'dovich,Yu. P. Raizer
Dynamo Problems in Astrophysics;Ya. B. Zel'dovich,A. A. Ruzmaikin
